1717731545171536_1821913891419967,Don't forget about self-care this week y'all <3 <3,Noel León,,photo,https://www.facebook.com/photo.php?fbid=1653263824699742&set=gm.1821913891419967&type=3,2016-12-11 23:52:16,2964,309,8,2575,325,4,43,12,5,0
1717731545171536_2025319391079415,,Shaantam Chawla,,photo,https://www.facebook.com/photo.php?fbid=934137020068893&set=gm.2025319391079415&type=3,2017-11-17 11:52:29,1631,122,7,1403,15,3,141,68,0,1
1717731545171536_2038791903065497,,Twee Mac,,photo,https://www.facebook.com/photo.php?fbid=10210659481349651&set=gm.2038791903065497&type=3,2017-12-13 22:08:13,86,3,1,74,5,0,6,1,0,0
1717731545171536_2038014049809949,When you walk out of your final and realize you still have 3 more to go,Stevie Zheng,,photo,https://www.facebook.com/photo.php?fbid=10210660151955577&set=gm.2038014049809949&type=3,2017-12-12 21:16:29,88,6,0,74,2,1,4,7,0,0
1717731545171536_2039752972969390,When your friends ask you to carry one more time in your last semester at Cal and you are looking at your transcript.,Ian Lee,,photo,https://www.facebook.com/photo.php?fbid=1811138272239992&set=gm.2039752972969390&type=3,2017-12-16 00:29:06,71,7,1,60,2,0,5,4,0,0
1717731545171536_2038861929725161,"180 minutes / 30 pages = 6 minutes/page
speedyboi reacts only",Jihan Yin,,photo,https://www.facebook.com/photo.php?fbid=1767927733278921&set=gm.2038861929725161&type=3,2017-12-14 04:35:48,297,18,0,240,0,3,18,35,1,0
1717731545171536_2038713513073336,48% reax only,Arani Acharya,,photo,https://www.facebook.com/photo.php?fbid=1747476868616589&set=gm.2038713513073336&type=3,2017-12-14 04:36:50,70,5,0,55,1,2,8,4,0,0
1717731545171536_2039913246286696,During finals week vs after you finish your last final,Mima Mirkovic,Photos from Mima Mirkovic's post,photo,https://www.facebook.com/photo.php?fbid=2148403028506979&set=gm.2039913246286696&type=3,2017-12-16 22:18:50,57,0,0,40,1,2,11,3,0,0
1717731545171536_2038044206473600,going into finals when you need a 375% to get a C-,Bryan Ho,,photo,https://www.facebook.com/photo.php?fbid=1087868878023076&set=gm.2038044206473600&type=3,2017-12-12 17:50:07,1787,173,6,1510,21,2,107,147,0,0
1717731545171536_2039197399691614,,Jun Seo Park,,photo,https://www.facebook.com/photo.php?fbid=923918687759697&set=gm.2039197399691614&type=3,2017-12-14 20:10:30,379,23,1,295,3,1,40,40,0,0
1717731545171536_2037120706565950,Blockchain fuccboi starter pack,Shakeer Ahmad,,photo,https://www.facebook.com/photo.php?fbid=1742392285771935&set=gm.2037120706565950&type=3,2017-12-10 22:09:15,3362,1144,45,2847,76,7,386,38,8,0
1717731545171536_2037062459905108,When you hear UCSB had its finals cancelled and now they have an extra week of winter break...,Alec Mesropian,,photo,https://www.facebook.com/photo.php?fbid=1524405007655723&set=gm.2037062459905108&type=3,2017-12-11 01:15:58,1855,189,5,1545,17,21,113,134,25,0
1717731545171536_2038297646448256,,Bharadwaj Swaminathan,,photo,https://www.facebook.com/photo.php?fbid=201775197057488&set=gm.2038297646448256&type=3,2017-12-13 04:38:33,1137,176,3,993,11,1,66,65,1,0
1717731545171536_2034002170211137,"my nam jef
EDIT: GOT A FRENCH FINAL IN 1 HOUR WISH ME LUCK LETS HOPE SHE ACCEPTS THIS",Albert Castro,,photo,https://www.facebook.com/photo.php?fbid=2030747127172387&set=gm.2034002170211137&type=3,2017-12-05 02:17:51,860,290,4,721,35,3,92,8,1,0
1717731545171536_2036717313272956,we're all snakes when finals hit,Forrest Li,,photo,https://www.facebook.com/photo.php?fbid=1740360776035382&set=gm.2036717313272956&type=3,2017-12-10 13:20:46,1664,155,5,1393,15,3,184,67,2,0
1717731545171536_2035474360063918,,Pujun Bhatnagar,,photo,https://www.facebook.com/photo.php?fbid=10155168724528034&set=gm.2035474360063918&type=3,2017-12-07 23:45:52,1302,129,5,1085,16,2,137,56,6,0
1717731545171536_2039285733016114,,Shivin Devgon,,photo,https://www.facebook.com/photo.php?fbid=10210777932232821&set=gm.2039285733016114&type=3,2017-12-14 20:42:51,85,3,0,69,1,0,8,7,0,0
1717731545171536_2037792296498791,Preping for that extra credit in your final like...,Kian Spark,,photo,https://www.facebook.com/photo.php?fbid=551361691878611&set=gm.2037792296498791&type=3,2017-12-12 21:16:54,53,4,0,42,0,0,2,9,0,0
1717731545171536_1977172619227426,,Komi Gee,,photo,https://www.facebook.com/photo.php?fbid=1590072571041043&set=gm.1977172619227426&type=3,2017-09-07 17:03:59,13139,1955,62,11046,88,35,1587,367,16,0
1717731545171536_1806297319648291,"So, Stanford has its own meme page...",Mitchell Chow,,video,https://www.facebook.com/1960942640597594/videos/1390980770927120,2016-11-14 00:11:55,5634,447,23,4749,235,11,620,14,5,0
1717731545171536_2038683879742966,"**FULL VERSION LIVE FUCC w/me PAPI **
this 4 all u mfs who didnt get mama christ's email",Albert Castro,,video,https://www.facebook.com/2037847296462370/videos/2035380560042377,2017-12-13 16:51:51,233,35,3,185,14,1,32,1,0,0
